                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2L
                      1,                 1.0038,                 2.3591,                 1.2912,                0.33269,                0.17284,                0.12872,                0.05182,                 1.0032,                 6.0484,                0.90829,                0.00052,                0.00052,                0.00052L
                      2,                 1.1031,                 1.8305,                 1.2927,                0.27675,                0.21333,                0.13053,                0.04666,                 1.1716,                 5.9208,                 1.0653,               0.001039,               0.001039,               0.001039L
                      3,                 1.1633,                 1.9077,                  1.365,                0.35889,                   0.24,                0.13256,                0.06102,                 1.6397,                 6.1545,                 1.3271,              0.0015366,              0.0015366,              0.0015366L
                      4,                 1.1924,                 1.8088,                 1.3699,                0.15275,                   0.16,                0.05075,                0.02392,                 1.6314,                 6.4751,                 1.4343,              0.0018812,              0.0018812,              0.0018812L
                      5,                 1.2471,                 1.8032,                  1.411,                0.17777,                0.18667,                0.09974,                0.04604,                 1.6888,                 5.7647,                 1.5317,              0.0018812,              0.0018812,              0.0018812L
                      6,                 1.1363,                 1.7311,                 1.3826,                0.20636,                    0.2,                 0.0938,                0.03701,                 1.4724,                 7.0202,                  1.219,              0.0018416,              0.0018416,              0.0018416L
                      7,                 1.2142,                 1.7273,                 1.4111,                  0.336,                   0.16,                0.10834,                0.05119,                 1.5401,                 5.0679,                 1.2572,               0.001802,               0.001802,               0.001802L
                      8,                 1.1729,                  1.564,                 1.3592,                 0.1516,                   0.28,                0.11411,                0.04088,                 1.5727,                 6.5001,                 1.3724,              0.0017624,              0.0017624,              0.0017624L
                      9,                 1.2699,                 1.6712,                 1.4394,                0.23316,                0.33333,                0.12401,                0.05627,                 1.4233,                 5.1532,                 1.2029,              0.0017228,              0.0017228,              0.0017228L
                     10,                 1.1423,                 1.5326,                 1.3671,                0.42641,                   0.32,                0.25216,                0.11189,                   1.23,                 5.1171,                 1.1537,              0.0016832,              0.0016832,              0.0016832L
                     11,                 1.0549,                 1.4617,                 1.2919,                0.43771,                   0.36,                0.22985,                0.10964,                 1.1813,                 4.2512,                 1.1278,              0.0016436,              0.0016436,              0.0016436L
                     12,                 1.1469,                 1.5244,                 1.3507,                0.43963,                0.38667,                0.24177,                0.11584,                 1.1724,                 4.1589,                 1.0638,               0.001604,               0.001604,               0.001604L
                     13,                 1.0467,                 1.3141,                 1.3085,                0.37004,                0.33333,                0.19922,                0.09711,                 1.2191,                 3.7817,                 1.0615,              0.0015644,              0.0015644,              0.0015644L
                     14,                  1.061,                 1.3359,                 1.2662,                0.41508,                0.35956,                0.21298,                0.10219,                 1.1543,                 3.1301,                  1.019,              0.0015248,              0.0015248,              0.0015248L
                     15,                 1.0763,                  1.267,                 1.2996,                0.40717,                0.33333,                0.21257,                0.07851,                 1.2871,                 2.9827,                 1.0926,              0.0014852,              0.0014852,              0.0014852L
                     16,                 1.1018,                 1.3188,                 1.3071,                0.42258,                   0.36,                0.22331,                0.12772,                 1.1626,                 2.9708,                 1.0512,              0.0014456,              0.0014456,              0.0014456L
                     17,                 1.0212,                 1.2452,                  1.267,                0.37281,                    0.4,                0.24109,                0.12485,                 1.1066,                 2.7993,                0.99261,               0.001406,               0.001406,               0.001406L
                     18,                 1.0184,                 1.1893,                 1.2696,                0.37423,                0.44657,                0.24571,                0.13052,                 1.0736,                 2.2693,                0.95065,              0.0013664,              0.0013664,              0.0013664L
                     19,                 1.0328,                 1.1718,                 1.2836,                0.43374,                0.37333,                0.25872,                0.12188,                 1.1003,                 2.6694,                0.95314,              0.0013268,              0.0013268,              0.0013268L
                     20,                 1.0469,                 1.1827,                 1.2767,                0.40821,                0.34667,                0.20252,                0.09975,                 1.1092,                   2.61,                0.93981,              0.0012872,              0.0012872,              0.0012872L
                     21,                 1.0228,                 1.2201,                 1.2252,                0.48559,                   0.36,                0.26524,                0.14526,                0.99535,                 2.7767,                 0.9164,              0.0012476,              0.0012476,              0.0012476L
                     22,                0.96069,                  1.097,                 1.2032,                0.35972,                0.37333,                0.20092,                0.09997,                 1.0625,                 2.5187,                0.92512,               0.001208,               0.001208,               0.001208L
                     23,                0.94902,                 1.0734,                 1.2017,                0.37707,                0.38667,                0.20639,                0.09612,                 1.1255,                 2.4701,                0.99177,              0.0011684,              0.0011684,              0.0011684L
                     24,                0.92715,                 1.0204,                 1.2191,                0.39783,                0.41333,                0.22597,                0.10938,                 1.0863,                 2.2841,                0.94845,              0.0011288,              0.0011288,              0.0011288L
                     25,                0.95727,                 1.0636,                 1.2353,                0.37227,                    0.4,                0.20306,                0.10653,                0.99733,                 2.3598,                0.93184,              0.0010892,              0.0010892,              0.0010892L
                     26,                0.93963,                 1.0808,                 1.2203,                0.34566,                    0.4,                0.20834,                 0.1014,                0.98219,                 2.0705,                0.90419,              0.0010496,              0.0010496,              0.0010496L
                     27,                0.89445,                0.93858,                 1.1615,                0.41654,                0.33333,                0.21216,                0.10367,                 1.0046,                 1.9763,                0.90684,                0.00101,                0.00101,                0.00101L
                     28,                0.91304,                0.97347,                 1.2224,                0.44501,                0.30667,                0.20499,                0.10402,                 1.0765,                 1.9782,                0.95065,              0.0009704,              0.0009704,              0.0009704
                     29,                0.88374,                0.98462,                 1.1514,                0.40552,                0.38667,                0.21421,                0.11413,                 1.0363,                 1.9192,                0.92314,              0.0009308,              0.0009308,              0.0009308
                     30,                0.88107,                0.95198,                 1.2034,                0.43777,                    0.4,                0.21659,                0.10462,                 1.0417,                 1.9779,                0.91243,              0.0008912,              0.0008912,              0.0008912
                     31,                0.89018,                0.91026,                 1.1745,                0.38254,                0.33333,                0.18117,                0.08504,                 1.0333,                 2.1176,                0.94574,              0.0008516,              0.0008516,              0.0008516
                     32,                0.85514,                0.86882,                  1.163,                0.34973,                0.36576,                0.18837,                0.08745,                0.98173,                 1.9828,                0.91022,               0.000812,               0.000812,               0.000812
                     33,                0.81321,                0.84297,                 1.1268,                0.41036,                0.41333,                0.23555,                 0.1205,                0.90412,                 1.7553,                0.84765,              0.0007724,              0.0007724,              0.0007724
                     34,                 0.8354,                0.81706,                  1.113,                0.35692,                0.40706,                 0.2162,                0.10943,                0.90691,                 1.8646,                0.85704,              0.0007328,              0.0007328,              0.0007328
                     35,                 0.7907,                0.84391,                 1.1179,                0.37913,                0.37333,                 0.2071,                0.09725,                0.92925,                  1.908,                0.87457,              0.0006932,              0.0006932,              0.0006932
                     36,                0.82351,                0.84788,                 1.1185,                0.39427,                0.38667,                0.20457,                0.10455,                0.95056,                 1.9071,                0.89457,              0.0006536,              0.0006536,              0.0006536
                     37,                0.80286,                0.83112,                 1.1132,                0.39443,                0.43426,                0.22393,                0.11544,                0.93996,                 1.7171,                0.87097,               0.000614,               0.000614,               0.000614
                     38,                0.75533,                0.76682,                 1.0799,                0.42119,                    0.4,                0.21952,                0.11188,                0.92545,                 1.6847,                0.85958,              0.0005744,              0.0005744,              0.0005744
                     39,                0.80818,                0.82874,                 1.1229,                0.42329,                0.38172,                0.19447,                0.09805,                0.94711,                 1.7107,                 0.8713,              0.0005348,              0.0005348,              0.0005348
                     40,                0.77884,                0.79168,                 1.1116,                0.38637,                    0.4,                0.18426,                0.08946,                0.99784,                 1.6747,                0.92527,              0.0004952,              0.0004952,              0.0004952
                     41,                0.70054,                0.78895,                 1.0711,                0.33569,                    0.4,                0.17191,                0.08367,                 1.0367,                 1.9335,                0.95616,              0.0004556,              0.0004556,              0.0004556
                     42,                0.74575,                0.75022,                 1.0958,                0.34378,                0.41333,                0.17642,                0.08824,                0.96988,                 1.9074,                0.93461,               0.000416,               0.000416,               0.000416
                     43,                0.73211,                0.75658,                 1.0905,                0.36309,                    0.4,                0.18826,                0.09786,                0.93052,                 1.7061,                0.90631,              0.0003764,              0.0003764,              0.0003764
                     44,                0.67542,                0.65241,                 1.0626,                 0.4295,                0.38667,                0.21063,                0.11052,                0.90933,                 1.6545,                0.88224,              0.0003368,              0.0003368,              0.0003368
                     45,                0.70098,                0.68217,                 1.0873,                0.39292,                   0.44,                0.23266,                0.12299,                0.88331,                 1.6493,                0.86945,              0.0002972,              0.0002972,              0.0002972
                     46,                0.67763,                0.64262,                 1.0622,                0.39919,                   0.44,                0.22041,                0.11226,                0.87987,                 1.5335,                0.86605,              0.0002576,              0.0002576,              0.0002576
                     47,                0.64157,                 0.6269,                 1.0458,                0.40213,                0.41333,                0.21396,                0.11011,                0.89225,                 1.5375,                0.86525,               0.000218,               0.000218,               0.000218
                     48,                0.63192,                0.63791,                 1.0166,                0.43385,                0.41333,                0.21964,                0.11151,                0.89763,                  1.518,                0.86735,              0.0001784,              0.0001784,              0.0001784
                     49,                 0.6466,                0.61627,                  1.031,                0.44903,                    0.4,                0.22362,                0.11451,                0.88893,                 1.5084,                0.86503,              0.0001388,              0.0001388,              0.0001388
                     50,                 0.6249,                0.59074,                 1.0188,                0.44167,                    0.4,                0.23211,                0.11849,                0.88094,                 1.4849,                0.86493,               9.92e-05,               9.92e-05,               9.92e-05
